// HALF-LIFE SPEECH SYSTEM SENTENCES. Max of 1536 sentences.

// HUMAN GRUNTS
HG_GREN0 sentences/HG_GREN0

HEV_AMO0 fvox/blip

// suit

HEV_V0 fvox/blip
HEV_V1 fvox/blip

HEV_E0 fvox/buzz
HEV_E1 fvox/buzz
HEV_E2 fvox/buzz
HEV_E3 fvox/buzz
HEV_E4 fvox/buzz
HEV_E5 fvox/buzz

// time remaining countdown

//HEV_F10t sentences/bell HEV_F10t 
//HEV_F15t sentences/bell HEV_F15t 
//HEV_F20t sentences/bell HEV_F20t 
//HEV_F30t sentences/bell HEV_F30t 

// detections

HEV_DET0 fvox/blip blip blip
HEV_DET1 fvox/blip blip blip
HEV_DET2 fvox/blip blip blip
HEV_DET3 fvox/blip blip blip
HEV_DET4 fvox/blip blip blip
HEV_DET5 fvox/blip blip blip


// BARNIEL (Female barniel) uses the sound files barniel for now

BN_VAR0 barniel/hevno
BN_VAR1 barniel/seeya

// Barniel is triggered to not follow player
BN_NOFOLLOW0 barniel/seelater

// Barniel is going to use a retina scanner
BN_RETINA0 barniel/yessir

BN_HISTOP1 barniel/humm, waitin
BN_SLEEP1 barniel/bn_die1

// If you use Barniel before the disaster
BN_POK0 barniel/bn_post

// Hello Barniel sentences before the disaster
BN_PHELLO0 barniel/hi

// Idle Barniel sentences before the disaster
BN_PIDLE0 barniel/badfeeling
BN_PIDLE1 barniel/movietv

// Question Barniel sentences before the disaster
BN_PQUEST0 barniel/thinking
BN_PQUEST0 barniel/whatsgoingon

BN_OK0 barniel/teamup1
BN_OK1 barniel/teamup2

BN_WAIT0 barniel/waitin

BN_HELLO0 barniel/hi

BN_QUESTION0 barniel/drinktopside
BN_QUESTION1 barniel/rightway
BN_QUESTION2 barniel/thinking
BN_QUESTION3 barniel/slimything
BN_QUESTION4 barniel/whatsgoingon

BN_ANSWER0 barniel/yessir
BN_ANSWER1 barniel/dontagree
BN_ANSWER2 barniel/humm
BN_ANSWER3 barniel/nosir
BN_ANSWER4 barniel/dontknow
BN_ANSWER5 barniel/bequiet

// player is staring at barniel
BN_STARE0 barniel/yessir
BN_STARE1 barniel/aimforhead
BN_STARE2 barniel/badfeeling

BN_IDLE0 barniel/movietv
BN_IDLE1 barniel/badfeeling
BN_IDLE2 barniel/aimforhead

BN_ATTACK0 barniel/diegreenthing
BN_ATTACK1 barniel/aimforhead
BN_ATTACK2 barniel/bn_attack1
BN_ATTACK3 barniel/openfire

BN_HEAR0 barniel/hearsomething

BN_SMELL0 barniel/somethingmoves

BN_CUREA barniel/youneedmedic
BN_CUREB barniel/youneedmedic
BN_CUREC barniel/youneedmedic

BN_SCARED0 barniel/bn_whatyou
BN_SCARED1 barniel/bn_dontdothat

BN_WOUND0 barniel/imhit
BN_WOUND1 barniel/hitbad
BN_MORTAL0 barniel/hitbad

//If you shoot barniel:
BN_SHOT0 barniel/bn_carefull
BN_SHOT1 barniel/bn_dontdothat
BN_SHOT2 barniel/bn_becarefull
BN_SHOT3 barniel/bn_whatyou
BN_SHOT4 barniel/bn_friends

//When barniel's really pissed at you:
BN_MAD0 barniel/bn_stepoff
BN_MAD1 barniel/bn_iwish
BN_MAD2 barniel/bn_uwish
BN_MAD3 barniel/bn_somuch
BN_MAD4 barniel/bn_endline
BN_MAD5 barniel/bn_dontmake
BN_MAD6 barniel/bn_tomb

//When barniel's killed something
BN_KILL0 barniel/bn_gotone
BN_KILL1 barniel/bn_another
BN_KILL2 barniel/bn_onelessh
BN_KILL3 barniel/bn_seethat
BN_KILL4 barniel/bn_close
BN_KILL5 barniel/bn_firepl
BN_KILL6 barniel/bn_bring

// if barniel can't follow you
BN_STOP0 barniel/stop1

// BARNEY

BA_OK0 barney/teamup2
BA_OK1 barney/dobettertogether
BA_OK2 barney/imwithyou
BA_OK3 barney/teamup1
BA_OK4 barney/gladtolendhand
BA_OK5 barney/letsgo
BA_OK6 barney/letsmoveit

BA_WAIT0 barney/helpothers
BA_WAIT1 barney/iwaithere
BA_WAIT2 barney/slowingyoudown
BA_WAIT3 barney/illwait
BA_WAIT4 barney/seeya
BA_WAIT5 barney/standguard

BA_HELLO0 barney/hellonicesuit
BA_HELLO1 barney/howyoudoing
BA_HELLO2 barney/hayfella
BA_HELLO3 barney/armedforces
BA_HELLO4 barney/soldier
BA_HELLO4 barney/sir

BA_QUESTION0 barney/beertopside
BA_QUESTION1 barney/getanyworse
BA_QUESTION2 barney/workingonstuff
BA_QUESTION3 barney/whatsgoingon
BA_QUESTION4 barney/aintscared
BA_QUESTION5 barney/nodrill
BA_QUESTION6 barney/crewdied
BA_QUESTION7 barney/somethingmoves
BA_QUESTION8 barney/thinking
BA_QUESTION9 barney/missingleg

BA_ANSWER0 barney/noway
BA_ANSWER1 barney/ireckon
BA_ANSWER2 barney/soundsright
BA_ANSWER3 barney/yessir
BA_ANSWER4 barney/youbet
BA_ANSWER5 barney/yougotit
BA_ANSWER6 barney/yup
BA_ANSWER7 barney/dontaskme
BA_ANSWER8 barney/dontbet
BA_ANSWER9 barney/dontbuyit
BA_ANSWER10 barney/dontfigure
BA_ANSWER11 barney/dontguess
BA_ANSWER12 barney/hardtosay
BA_ANSWER13 barney/justdontknow
BA_ANSWER14 barney/nope
BA_ANSWER15 barney/nosir
BA_ANSWER16 barney/cantfigure
BA_ANSWER17 barney/maybe
BA_ANSWER18 barney/notelling
BA_ANSWER19 barney/bequiet
BA_ANSWER20 barney/youtalkmuch
BA_ANSWER21 barney/alreadyasked

// player is staring at scientist
BA_STARE0 barney/yup
BA_STARE1 barney/yessir
BA_STARE2 barney/howyoudoing
BA_STARE3 barney/heyfella

BA_IDLE0 barney/whatisthat
BA_IDLE1 barney/coldone
BA_IDLE2 barney/guyresponsible
BA_IDLE3 barney/bigmess
BA_IDLE4 barney/luckwillturn
BA_IDLE5 barney/bigplace
BA_IDLE6 barney/targetpractice
BA_IDLE7 barney/badfeeling
BA_IDLE8 barney/ambush
BA_IDLE9 barney/survive
BA_IDLE10 barney/stophere

BA_ATTACK0 barney/standback
BA_ATTACK1 barney/whatisthat
BA_ATTACK2 barney/diebloodsucker
BA_ATTACK3 barney/aimforhead

BA_HEAR0 barney/hearsomething
BA_HEAR1 barney/icanhear
BA_HEAR2 barney/soundsbad

BA_SMELL0 barney/somethingdied
BA_SMELL1 barney/somethingstinky
BA_SMELL2 barney/stench

BA_CUREA barney/checkwounds
BA_CUREB barney/youneedmedic
BA_CUREC barney/realbadwound

BA_SCARED0 barney/donthurtem
BA_SCARED1 barney/leavealone

BA_WOUND0 barney/imhit
BA_WOUND1 barney/hitbad
BA_MORTAL0 barney/imdead

//If you shoot Barney:
BA_SHOT1 barney/ba_dotoyou
BA_SHOT2 barney/ba_watchit
BA_SHOT3 barney/ba_whatyou
BA_SHOT4 barney/ba_friends

//When Barney’s really pissed at you:
BA_MAD0 barney/ba_stepoff
BA_MAD1 barney/ba_iwish
BA_MAD2 barney/ba_uwish
BA_MAD3 barney/ba_somuch
BA_MAD4 barney/ba_endline
BA_MAD5 barney/ba_dontmake
BA_MAD6 barney/ba_tomb
BA_MAD7 barney/easily

//When Barney’s killed something
BA_KILL0 barney/ba_gotone
BA_KILL1 barney/ba_another
BA_KILL2 barney/ba_buttugly
BA_KILL3 barney/ba_seethat
BA_KILL4 barney/ba_close
BA_KILL5 barney/ba_firepl
BA_KILL6 barney/ba_bring

// if barney can't follow you
BA_STOP0 barney/stop1
BA_STOP1 barney/stop2

// BARNEY OP4 SCRIPTS
BA_BOMBOFF barney/of6a4_ba01
BA_CLOSEONE barney/of6a4_ba02
BA_STORAGEUNIT barney/of6a4_ba03
BA_NASTYTHING barney/of6a4_ba04

OF1A5_BARN1 barney/OF1A5_BA01
OF1A5_BARN2 barney/OF1A5_BA02
BA_ZOMBIE2 barney/c1a2_ba_2zomb
BA_ZOMBIE4 barney/c1a2_ba_4zomb

// GUS
GUS_OK0 scientist/alright
GUS_OK1 scientist/fine
GUS_OK2 scientist/hopeyouknow
GUS_OK3 scientist/leadtheway
GUS_OK4 scientist/letsgo
GUS_OK5 scientist/yesletsgo
GUS_OK6 scientist/yes3

GUS_WAIT0 scientist/beenaburden
GUS_WAIT1 scientist/slowingyou
GUS_WAIT2 scientist/reconsider
GUS_WAIT3 scientist/whyleavehere
GUS_WAIT4 scientist/illwaithere
GUS_WAIT5 scientist/istay
GUS_WAIT6 scientist/illwait

GUS_STOP0 scientist/stop1
GUS_STOP1 scientist/stop2
GUS_STOP2 scientist/stop4

GUS_STARE0 scientist/yees
GUS_STARE1 scientist/areyouthink
GUS_STARE2 scientist/noidea

GUS_HELLO0 scientist/hellothere
GUS_HELLO1 scientist/greetings2
GUS_HELLO2 scientist/hello
GUS_HELLO3 scientist/goodtoseeyou

GUS_ANSWER0 scientist/notsure
GUS_ANSWER1 scientist/notcertain
GUS_ANSWER2 scientist/perhaps
GUS_ANSWER3 scientist/whocansay
GUS_ANSWER4 scientist/inconclusive
GUS_ANSWER5 scientist/theoretically
GUS_ANSWER6 scientist/whyaskme
GUS_ANSWER7 scientist/lowervoice
GUS_ANSWER8 scientist/ofcourse
GUS_ANSWER9 scientist/absolutely
GUS_ANSWER10 scientist/yes
GUS_ANSWER11 scientist/ibelieveso
GUS_ANSWER12 scientist/right
GUS_ANSWER13 scientist/imsure
GUS_ANSWER14 scientist/positively
GUS_ANSWER15 scientist/nodoubt
GUS_ANSWER16 scientist/yees
GUS_ANSWER17 scientist/ofcoursenot
GUS_ANSWER18 scientist/absolutelynot
GUS_ANSWER19 scientist/noo
GUS_ANSWER20 scientist/idontthinkso
GUS_ANSWER21 scientist/completelywrong
GUS_ANSWER22 scientist/cantbeserious
GUS_ANSWER23 scientist/dontknow
GUS_ANSWER24 scientist/ridiculous
GUS_ANSWER25 scientist/shutup
GUS_ANSWER26 scientist/noguess
GUS_ANSWER27 scientist/stopasking
GUS_ANSWER28 scientist/justasked
GUS_ANSWER29 scientist/repeat

GUS_QUESTION0 scientist/everseen
GUS_QUESTION1 scientist/needsleep
GUS_QUESTION2 scientist/areyouthink
GUS_QUESTION3 scientist/evergetout
GUS_QUESTION4 scientist/rightwayout
GUS_QUESTION5 scientist/cantbeworse
GUS_QUESTION6 scientist/rescueus
GUS_QUESTION7 scientist/fascinating
GUS_QUESTION8 scientist/stimulating
GUS_QUESTION9 scientist/luckwillchange
GUS_QUESTION10 scientist/hearsomething
GUS_QUESTION11 scientist/doyousmell
GUS_QUESTION12 scientist/uselessphd
GUS_QUESTION13 scientist/waithere
GUS_QUESTION14 scientist/survival
GUS_QUESTION15 scientist/headcrab
GUS_QUESTION16 scientist/goodpaper
GUS_QUESTION17 scientist/catchone
GUS_QUESTION18 scientist/dinner
GUS_QUESTION19 scientist/alientrick
GUS_QUESTION20 scientist/alienappeal
GUS_QUESTION21 scientist/rumorclean
GUS_QUESTION22 scientist/nothostile
GUS_QUESTION23 scientist/announcer
GUS_QUESTION24 scientist/smellburn
GUS_QUESTION25 scientist/noidea
GUS_QUESTION26 scientist/whatnext

GUS_IDLE0 scientist/ipredictedthis
GUS_IDLE1 scientist/containfail
GUS_IDLE2 scientist/chaostheory
GUS_IDLE3 scientist/howinteresting
GUS_IDLE4 scientist/neverseen
GUS_IDLE5 scientist/peculiarmarks
GUS_IDLE6 scientist/whoresponsible
GUS_IDLE7 scientist/nogrant
GUS_IDLE8 scientist/bloodsample
GUS_IDLE9 scientist/administrator
GUS_IDLE10 scientist/improbable
GUS_IDLE11 scientist/organicmatter
GUS_IDLE12 scientist/lambdalab
GUS_IDLE13 scientist/ihearsomething

GUS_NOGO scientist/dontgothere

GUS_MONST0 scientist/seeheadcrab
GUS_MONST1 scientist/importantspecies

GUS_HEAR0 scientist/ihearsomething
GUS_HEAR1 scientist/didyouhear
GUS_HEAR2 scientist/whatissound

GUS_SMELL0 scientist/somethingfoul
GUS_SMELL1 scientist/odorfromyou
GUS_SMELL2 scientist/peculiarodor
GUS_SMELL3 scientist/stench

GUS_WOUND0 scientist/iwounded
GUS_WOUND1 scientist/iwounded2

GUS_MORTAL0 scientist/iwoundedbad
GUS_MORTAL1 scientist/iwounded2

GUS_CUREA scientist/youlookbad
GUS_CUREB scientist/youwounded
GUS_CUREC scientist/youneedmedic

GUS_PLFEAR0 scientist/whatyoudoing
GUS_PLFEAR1 scientist/canttakemore
GUS_PLFEAR2 scientist/madness
GUS_PLFEAR3 scientist/noplease
GUS_PLFEAR4 scientist/getoutofhere
GUS_PLFEAR5 scientist/sorryimleaving

GUS_FEAR0 scientist/nooo
GUS_FEAR1 scientist/startle2
GUS_FEAR2 scientist/startle1 nooo
GUS_FEAR3 scientist/dontwantdie
GUS_FEAR4 scientist/getoutalive
GUS_FEAR5 scientist/startle3
GUS_FEAR6 scientist/startle4
GUS_FEAR7 scientist/startle5
GUS_FEAR8 scientist/startle6
GUS_FEAR9 scientist/startle7
GUS_FEAR10 scientist/startle8
GUS_FEAR11 scientist/startle9
GUS_FEAR12 scientist/startle1

GUS_SCREAM0 scientist/sci_fear1
GUS_SCREAM1 scientist/sci_fear2
GUS_SCREAM2 scientist/sci_fear3
GUS_SCREAM3 scientist/sci_fear4
GUS_SCREAM4 scientist/sci_fear5
GUS_SCREAM5 scientist/sci_fear6
GUS_SCREAM6 scientist/sci_fear7
GUS_SCREAM7 scientist/sci_fear8
GUS_SCREAM8 scientist/sci_fear9
GUS_SCREAM9 scientist/sci_fear10
GUS_SCREAM10 scientist/sci_fear11
GUS_SCREAM11 scientist/sci_fear12
GUS_SCREAM12 scientist/sci_fear13
GUS_SCREAM13 scientist/sci_fear14
GUS_SCREAM14 scientist/sci_fear15

GUS_SCARED0 scientist/whatyoudoing
GUS_SCARED1 scientist/stopattacking
GUS_SCARED2 scientist/youinsane

// SCIENTIST

SC_OK0 scientist/excellentteam
SC_OK1 scientist/alright
SC_OK2 scientist/fine
SC_OK3 scientist/hopeyouknow
SC_OK4 scientist/leadtheway
SC_OK5 scientist/letsgo
SC_OK6 scientist/yesletsgo
SC_OK7 scientist/yes3

SC_WAIT0 scientist/beenaburden
SC_WAIT1 scientist/slowingyou
SC_WAIT2 scientist/reconsider
SC_WAIT3 scientist/whyleavehere
SC_WAIT4 scientist/illwaithere
SC_WAIT5 scientist/istay
SC_WAIT6 scientist/illwait

// fail to follow player any more
SC_STOP0 scientist/stop1
SC_STOP1 scientist/stop2
SC_STOP2 scientist/stop4


// player is staring at scientist
SC_STARE0 scientist/yees
SC_STARE1 scientist/areyouthink
SC_STARE2 scientist/noidea

SC_HELLO0 scientist/hellothere
SC_HELLO1 scientist/greetings2
SC_HELLO2 scientist/hello
SC_HELLO3 scientist/goodtoseeyou

SC_ANSWER0 scientist/notsure
SC_ANSWER1 scientist/notcertain
SC_ANSWER2 scientist/perhaps
SC_ANSWER3 scientist/whocansay
SC_ANSWER4 scientist/inconclusive
SC_ANSWER5 scientist/theoretically
SC_ANSWER6 scientist/whyaskme
SC_ANSWER7 scientist/lowervoice
SC_ANSWER8 scientist/ofcourse
SC_ANSWER9 scientist/absolutely
SC_ANSWER10 scientist/yes
SC_ANSWER11 scientist/ibelieveso
SC_ANSWER12 scientist/right
SC_ANSWER13 scientist/imsure
SC_ANSWER14 scientist/positively
SC_ANSWER15 scientist/nodoubt
SC_ANSWER16 scientist/yees
SC_ANSWER17 scientist/ofcoursenot
SC_ANSWER18 scientist/absolutelynot
SC_ANSWER19 scientist/noo
SC_ANSWER20 scientist/idontthinkso
SC_ANSWER21 scientist/completelywrong
SC_ANSWER22 scientist/cantbeserious
SC_ANSWER23 scientist/dontknow
SC_ANSWER24 scientist/ridiculous
SC_ANSWER25 scientist/shutup
SC_ANSWER26 scientist/noguess
SC_ANSWER27 scientist/stopasking
SC_ANSWER28 scientist/justasked
SC_ANSWER29 scientist/repeat

SC_QUESTION0 scientist/everseen
SC_QUESTION1 scientist/needsleep
SC_QUESTION2 scientist/areyouthink
SC_QUESTION3 scientist/evergetout
SC_QUESTION4 scientist/rightwayout
SC_QUESTION5 scientist/cantbeworse
SC_QUESTION6 scientist/rescueus
SC_QUESTION7 scientist/fascinating
SC_QUESTION8 scientist/stimulating
SC_QUESTION9 scientist/luckwillchange
SC_QUESTION10 scientist/hearsomething
SC_QUESTION11 scientist/doyousmell
SC_QUESTION12 scientist/uselessphd
SC_QUESTION13 scientist/waithere
SC_QUESTION14 scientist/survival
SC_QUESTION15 scientist/headcrab
SC_QUESTION16 scientist/goodpaper
SC_QUESTION17 scientist/catchone
SC_QUESTION18 scientist/dinner
SC_QUESTION19 scientist/alientrick
SC_QUESTION20 scientist/alienappeal
SC_QUESTION21 scientist/rumorclean
SC_QUESTION22 scientist/nothostile
SC_QUESTION23 scientist/announcer
SC_QUESTION24 scientist/smellburn
SC_QUESTION25 scientist/noidea
SC_QUESTION26 scientist/whatnext

SC_IDLE0 scientist/ipredictedthis
SC_IDLE1 scientist/containfail
SC_IDLE2 scientist/chaostheory
SC_IDLE3 scientist/howinteresting
SC_IDLE4 scientist/neverseen
SC_IDLE5 scientist/peculiarmarks
SC_IDLE6 scientist/whoresponsible
SC_IDLE7 scientist/nogrant
SC_IDLE8 scientist/bloodsample
SC_IDLE9 scientist/administrator
SC_IDLE10 scientist/improbable
SC_IDLE11 scientist/organicmatter
SC_IDLE12 scientist/lambdalab
SC_IDLE13 scientist/ihearsomething

SC_NOGO scientist/dontgothere

SC_MONST0 scientist/seeheadcrab
SC_MONST1 scientist/importantspecies

SC_HEAR0 scientist/ihearsomething
SC_HEAR1 scientist/didyouhear
SC_HEAR2 scientist/whatissound

SC_SMELL0 scientist/somethingfoul
SC_SMELL1 scientist/odorfromyou
SC_SMELL2 scientist/peculiarodor
SC_SMELL3 scientist/stench

SC_WOUND0 scientist/iwounded
SC_WOUND1 scientist/iwounded2

SC_MORTAL0 scientist/iwoundedbad
SC_MORTAL1 scientist/iwounded2

SC_CUREA scientist/youlookbad
SC_CUREB scientist/youwounded
SC_CUREC scientist/youneedmedic

SC_HEAL0 scientist/heal1
SC_HEAL1 scientist/heal2
SC_HEAL2 scientist/youneedmedic, letstrythis
SC_HEAL3 scientist/youlookbad, holdstill
SC_HEAL4 scientist/youwounded, letstrythis
SC_HEAL5 scientist/heal3
SC_HEAL6 scientist/heal4
SC_HEAL7 scientist/heal5

SC_PLFEAR0 scientist/whatyoudoing
SC_PLFEAR1 scientist/canttakemore
SC_PLFEAR2 scientist/madness
SC_PLFEAR3 scientist/noplease
SC_PLFEAR4 scientist/getoutofhere
SC_PLFEAR5 scientist/sorryimleaving

SC_FEAR0 scientist/nooo
SC_FEAR1 scientist/startle2
SC_FEAR2 scientist/startle1 nooo
SC_FEAR3 scientist/dontwantdie
SC_FEAR4 scientist/getoutalive
SC_FEAR5 scientist/startle3
SC_FEAR6 scientist/startle4
SC_FEAR7 scientist/startle5
SC_FEAR8 scientist/startle6
SC_FEAR9 scientist/startle7
SC_FEAR10 scientist/startle8
SC_FEAR11 scientist/startle9
SC_FEAR12 scientist/startle1

SC_SCREAM0 scientist/sci_fear1
SC_SCREAM1 scientist/sci_fear2
SC_SCREAM2 scientist/sci_fear3
SC_SCREAM3 scientist/sci_fear4
SC_SCREAM4 scientist/sci_fear5
SC_SCREAM5 scientist/sci_fear6
SC_SCREAM6 scientist/sci_fear7
SC_SCREAM7 scientist/sci_fear8
SC_SCREAM8 scientist/sci_fear9
SC_SCREAM9 scientist/sci_fear10
SC_SCREAM10 scientist/sci_fear11
SC_SCREAM11 scientist/sci_fear12
SC_SCREAM12 scientist/sci_fear13
SC_SCREAM13 scientist/sci_fear14
SC_SCREAM14 scientist/sci_fear15

SC_SCARED0 scientist/whatyoudoing
SC_SCARED1 scientist/stopattacking
SC_SCARED2 scientist/youinsane

//miscellaneous useful scripts
SC_LETYOUIN scientist/letyouin
SC_OVERHERE scientist/overhere



//op4 scripts
SC_COUNTING1 scientist/of1a1_sc01
SC_COUNTING2 scientist/of1a1_sc02
SC_WOKENUP scientist/of1a1_sc03
SC_BETTERLUCK scientist/of1a1_sc04
SC_GONOMEHINT scientist/of1a1_sc05
SC_IHAVENT scientist/of1a5_sc01
SC_SEENSPECIES scientist/of1a5_sc02
SC_FREEMAN scientist/of1a6_sc01
SC_WHATSWORSE scientist/of2a2_sc01
SC_HIDMYSELF scientist/of2a3_sc01
SC_PUTDOWN scientist/of3a2_sc01
SC_NOTAGAIN scientist/of3a2_sc02
SC_TRAPPED scientist/of3a4_sc01
SC_HELPACCESS scientist/of3a4_sc02
SC_GRAPPLETAPE scientist/of4a1_sc01
SC_RUNSCREAM scientist/scream22
SC_PLEASE scientist/please
SC_GETALONG scientist/getalong

SC_SCREAM15 scientist/scream07

SC_RESCUED scientist/c1a3_sci_rescued

SC_GOFREEMAN scientist/c3a2_sci_portopen
SC_HURRY scientist/c3a2_sci_forever

// outdoor
WILD0 ambience/(v30) quail1(p103), quail1(t10), quail1(p101)
WILD1 ambience/bee1(v75)
WILD2 ambience/bee2(p105)
WILD3 ambience/hawk1(p98 v30)
WILD4 ambience/hawk1(p105 v20)
WILD5 ambience/(v50 p97) quail1, quail1(t15)
WILD6 ambience/bee1(p98 v50)
WILD7 ambience/bee1(p97)
WILD8 ambience/quail1(p98 v20))
WILD9 ambience/des_wind1(v50)
WILD10 ambience/des_wind2(v50)
WILD11 ambience/des_wind3(v50)
WILD9 ambience/des_wind1(v40 p105)
WILD10 ambience/des_wind2(v40 p98)
WILD11 ambience/des_wind3(v40 p103)
